grad_norm,param_norm,samples,step,train_acc@1,train_acc@1_q1,train_acc@1_q2,train_acc@1_q3,train_acc@2,train_acc@2_q1,train_acc@2_q2,train_acc@2_q3,train_loss,train_loss_q1,train_loss_q2,train_loss_q3,train_acc@1_q0,train_acc@2_q0,train_loss_q0
157.80707140460504,101.69220862325244,10,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8149088621139526,0.8336486220359802,0.8121539354324341,0.8069164156913757,,,
5.871413070879277,101.69232626268217,20,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14537017047405243,0.14636047184467316,0.14482295513153076,0.1451486423611641,,,
2.068989262589194,101.6926359974696,30,2,1.0,1.0,,1.0,1.0,1.0,,1.0,0.09089670330286026,0.09084087361892064,,0.09106417745351791,,,
1.4374268839904847,101.6933633883215,40,3,1.0,1.0,1.0,,1.0,1.0,1.0,,0.07560285925865173,0.07183931767940521,0.07190965116024017,,1.0,1.0,0.07933122664690018
1.0618070740271468,101.69445490648324,50,4,1.0,,,1.0,1.0,,,1.0,0.06352292001247406,,,0.06147471442818642,1.0,1.0,0.06420565769076347
0.9624231565630414,101.69564025377262,60,5,1.0,1.0,1.0,,1.0,1.0,1.0,,0.05621049553155899,0.05619891546666622,0.05584360659122467,,1.0,1.0,0.056600555777549744
0.7193044717371858,101.69663328101008,70,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.050512176007032394,0.050695184618234634,0.050376046448946,0.050282299518585205,,,
0.5845940361091931,101.69757220345421,80,7,1.0,1.0,1.0,,1.0,1.0,1.0,,0.04716461896896362,0.04632239416241646,0.04630788415670395,,1.0,1.0,0.049720313400030136
0.5235800210933261,101.69853937208318,90,8,1.0,,1.0,1.0,1.0,,1.0,1.0,0.044322557747364044,,0.04345783218741417,0.04344949871301651,1.0,1.0,0.04519145004451275
0.47745736274756856,101.69952772580892,100,9,1.0,,,1.0,1.0,,,1.0,0.041122402995824814,,,0.041049154475331306,1.0,1.0,0.04119564965367317
0.44648565420985575,101.7004959812449,110,10,1.0,1.0,,,1.0,1.0,,,0.03893192112445831,0.03893192391842604,,,,,
0.42426265412927944,101.70142709581425,120,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03694618120789528,0.03699460253119469,0.036981161683797836,0.036904476583004,,,
0.4077434271738027,101.70231210353484,130,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03541702777147293,0.03546944633126259,0.0353153757750988,0.03526807948946953,1.0,1.0,0.035615209490060806
0.3928730552494071,101.70313366844135,140,13,1.0,1.0,,1.0,1.0,1.0,,1.0,0.033954598009586334,0.03397422097623348,,0.03376137465238571,1.0,1.0,0.034108567982912064
0.372220812726648,101.70389208823848,150,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03226540982723236,0.0323442742228508,0.032262613996863365,0.03219214454293251,,,
0.3522122400526787,101.7045891863422,160,15,1.0,1.0,1.0,,1.0,1.0,1.0,,0.030898991972208023,0.03103657253086567,0.03071848303079605,,1.0,1.0,0.03112243302166462
0.3364096063352597,101.70524660262525,170,16,1.0,1.0,,1.0,1.0,1.0,,1.0,0.029505031183362007,0.02951455768197775,,0.029305625706911087,1.0,1.0,0.029685383662581444
0.32440075792111817,101.70586882277077,180,17,1.0,1.0,,1.0,1.0,1.0,,1.0,0.028265025466680527,0.02827106323093176,,0.02801724150776863,1.0,1.0,0.028500724583864212
0.30830479327297683,101.70644088369234,190,18,1.0,,1.0,1.0,1.0,,1.0,1.0,0.02677306719124317,,0.026779189705848694,0.026771027594804764,,,
0.29899189366327816,101.70697509345048,200,19,1.0,1.0,,1.0,1.0,1.0,,1.0,0.025671157985925674,0.025784067809581757,,0.025527927093207836,1.0,1.0,0.02584470808506012
0.28763474129117533,101.70747405475939,210,20,1.0,1.0,,1.0,1.0,1.0,,1.0,0.02443554438650608,0.024486713111400604,,0.024287194944918156,1.0,1.0,0.024681074544787407
0.2740955081795196,101.70793933019546,220,21,1.0,1.0,,1.0,1.0,1.0,,1.0,0.023106805980205536,0.023116156458854675,,0.023103691016634304,,,
0.2896401164228315,101.70836844430511,230,22,1.0,1.0,,1.0,1.0,1.0,,1.0,0.0217970609664917,0.021603615954518318,,0.02190980687737465,1.0,1.0,0.022071203216910362
0.27661560561125975,101.70876039910958,240,23,1.0,,,1.0,1.0,,,1.0,0.02053343504667282,,,0.02076913882046938,1.0,1.0,0.020297730341553688
0.2583269396214223,101.70910400484352,250,24,1.0,1.0,,1.0,1.0,1.0,,1.0,0.01923125609755516,0.018329523503780365,,0.019674504175782204,1.0,1.0,0.01924649439752102
0.2827072323467475,101.70936199488224,260,25,1.0,1.0,1.0,,1.0,1.0,1.0,,0.016877111047506332,0.016166668385267258,0.016721767373383045,,1.0,1.0,0.017898239195346832
0.30113656707853337,101.70951982151716,270,26,1.0,1.0,1.0,,1.0,1.0,1.0,,0.01455969363451004,0.014025338925421238,0.01564338430762291,,1.0,1.0,0.014285026583820581
0.3139297266585217,101.70962811608305,280,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013032076880335808,0.011571197770535946,0.012030777521431446,0.014263166580349207,,,
0.24251807826792648,101.70969172600319,290,28,1.0,,1.0,1.0,1.0,,1.0,1.0,0.010453656315803528,,0.009378897957503796,0.013834420591592789,1.0,1.0,0.009222407825291157
0.22512717108019648,101.70973563312243,300,29,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0071289013139903545,0.007058209739625454,0.007203971967101097,,1.0,1.0,0.007049450185149908
0.18041927215235734,101.70980832355326,310,30,1.0,1.0,,1.0,1.0,1.0,,1.0,0.005650091916322708,0.005219819489866495,,0.006640391889959574,1.0,1.0,0.005520337261259556
0.1470799742347678,101.70991347485399,320,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0038241292349994183,0.003705541603267193,0.004330780357122421,0.0034142793156206608,1.0,1.0,0.0038459161296486855
0.2282051490310141,101.71005810764974,330,32,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0028234340716153383,,0.002430641674436629,0.0032162265852093697,,,
